,R_over_ratio_shuf
388,0.7724594093187088
389,0.9804545165587931
390,0.9671585090013578
391,0.9960417204449915
392,1.0162266381939347
393,1.0303112810214246
394,1.0063881784274165
395,0.9551879189854009
396,1.0340347005585544
397,1.041621333107068
398,1.3098719040066498
399,1.0975903274017673
400,0.8963866678892592
401,1.4141167161402812
402,0.7325059156874155
403,1.4195369566082991
404,0.9308426023439171
405,0.9961517467274024
406,1.0241076585014068
407,1.074797410624959
408,1.2869731241285929
409,0.8536745196977731
410,1.0263103531203848
411,0.945812130330972
412,1.107546199031319
413,0.9725604114835932
414,1.1497192609117146
415,0.7280331483196187
416,0.9813849614301786
417,1.2307699033677861
418,0.9862516440873077
419,1.0194211865118483
420,0.9562326264476333
421,0.9532515285117682
422,1.0853258652795956
423,1.0000217493423593
424,0.957273073294138
425,1.019639862169641
426,1.1610680051128048
427,1.037028590426715
428,0.8707776444722717
429,1.033864262332038
430,1.0445609855281663
431,1.032687526006262
432,0.9795639300565225
433,0.9305142228903974
434,1.1198715809513462
435,0.9731131814269578
436,1.1226588749504312
437,1.1068239468185137
438,0.9676019303629211
439,0.969064239084349
440,1.0056469436670965
441,0.9080740634958445
442,1.0957894771091132
443,1.0303287730298434
444,0.7375713222083607
445,0.9633393316766083
446,1.0067008958292853
447,1.100904231272441
448,1.0014433771067213
449,0.8849650501412792
450,0.9920103647223182
451,0.9482658479225953
452,0.8419759941986976
453,1.121005865852548
454,1.2713295044835735
455,0.7011102547629002
456,0.978887067102921
457,1.0679619481117535
458,0.9374241812873807
459,0.9475510283323597
460,1.4683342895646918
461,0.9971437514376098
462,0.7863487358662719
463,1.0453000060436821
464,1.0129125992164676
465,1.2480352553344354
466,0.9801820968706497
467,0.9460670971760128
468,0.7997146101221948
469,1.0153359669789386
470,0.837885692335046
471,1.1221715239722119
472,0.9842986920946618
473,1.0187333712561675
474,1.0475276658110293
475,0.9173301607741846
476,1.0394520277528354
477,1.065917652177956
478,0.898484233567763
479,0.9657505730517413
480,0.9284796316281099
481,1.0646646240655098
482,1.0869767307711593
483,0.9793118001546587
484,0.9582106981355186
485,0.9522668777879507
486,1.008500763140746
487,1.017059383904848
488,0.9955793767655452
489,0.9654214350945829
490,1.0043734743241732
491,0.8940777807704565
492,0.8914689487233225
493,0.9636269894252062
494,0.977733803506791
495,1.009060525385486
496,1.065769558956961
497,0.8167699794791731
498,1.0925419027989882
499,1.2296162238710195
500,0.8605731828123485
501,1.0309584982417113
502,0.941448529023361
503,0.9622272973893782
504,1.076760495966206
505,0.688316363999987
506,1.024247181976893
507,0.8236836012994254
508,1.0894587139422596
509,0.9143979171659761
510,1.0874469904303987
511,1.0382856226887587
512,0.8808186654100607
513,1.5042735496436794
514,0.7493307535672559
515,0.9583874157090957
516,0.8552144370457789
517,0.9995286260709006
518,1.0516629929623815
519,1.0630497742916027
520,1.2762541409880093
521,0.8492069372917134
522,1.047795492145745
523,0.9774380605621704
524,1.08671601018769
525,0.9027320953381033
526,1.1510159703943221
527,0.7879183361420896
528,0.9842345394201597
529,1.2967975171284334
530,0.9946642871510188
531,0.9702725860107946
